deploymentID,locationID,locationName,latitude,longitude,coordinateUncertainty,deploymentStart,deploymentEnd,setupBy,cameraID,cameraModel,cameraDelay,cameraHeight,cameraDepth,cameraTilt,cameraHeading,detectionDistance,timestampIssues,baitUse,featureType,habitat,deploymentGroups,deploymentTags,deploymentComments,trap_nights,raw_label,cam_label,treatment
74f5b611-9775-44be-9515-472617f48698,31375174-212d-45d3-90a3-878a8abad557,Bwindi - F11 (103),-1.088194,29.81106,NA,2026-02-22T17:31:29Z,2026-03-08T10:56:13Z,NA,f4cef494-70a9-40c9-82e6-7952205e6879,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.72550925925926,F11 (103),F11,Roadside
76e7ca04-d64c-4c10-885c-bc8233feece0,08c705d8-cba4-4633-af0e-92d58005b0fe,Bwindi - F17 (104),-1.100515,29.811725,NA,2026-03-02T09:43:39Z,2026-03-12T16:09:51Z,NA,06aed461-4063-4ff3-be18-13f31751fa9f,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.268194444444445,F17 (104),F17,Roadside
79133ffe-f536-4e2d-b490-609c42be915e,8a2c7352-4af8-4752-bb07-ea1f157a7657,Bwindi - F06,-1.070451,29.800982,NA,2026-02-02T10:43:02Z,2026-03-14T09:05:28Z,NA,2ddd3c02-1d95-4dd3-ba93-bbbbce0e04fd,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.93224537037037,F06,F06,Roadside
791b4fe2-4d1b-439f-b89e-9d5e4b7ec642,6353b823-407f-4070-9883-1bf00e37f85b,Bwindi - F05 (105),-1.068169,29.796316,NA,2026-03-22T09:55:15Z,2026-03-29T10:23:36Z,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0196875,F05 (105),F05,Roadside
7d10cd87-f624-4db7-b73d-10ec4998d38a,b1756051-2291-463c-a393-bd30d16e86b8,Bwindi - F17 (103),-1.100515,29.811725,NA,2026-02-19T19:24:07Z,2026-03-02T09:43:38Z,NA,06aed461-4063-4ff3-be18-13f31751fa9f,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.596886574074073,F17 (103),F17,Roadside
80baf29f-287e-455c-b8a9-9a18a201349d,fd372860-acb9-4f15-81f8-aa18fa903dae,Bwindi - C04,-1.076429,29.796595,NA,2026-02-08T11:17:29Z,2026-03-20T11:08:41Z,NA,c9755b64-240f-4abc-8b64-87f29f416a0e,-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C04,39.99388888888889,C04,C04,Interior
8858fbc8-5ddf-44ae-9e27-4faa86c5d3ce,5800e78d-44f3-4b6c-a9f5-92029145f647,Bwindi - F18 (103),-1.101838,29.807666,NA,2026-03-04T12:26:27Z,2026-03-09T11:21:52Z,NA,464b2e68-3d11-475a-8bc8-9bc925bd39c8,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103 - 0001 - 2000,4.955150462962963,F18 (103),F18,Roadside
8c2298c5-d51f-471e-b6a8-699aaa8353ce,39660cd1-abf5-475b-8ecb-06866195a23d,Bwindi - F12 (100),-1.091511,29.80931,NA,2026-02-02T12:47:29Z,2026-02-11T06:34:04Z,NA,58489fd3-72ec-4f21-8370-8b3d0731b8ac,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.740682870370371,F12 (100),F12,Roadside
8e99f2fd-344e-4fab-8d04-a5051313d22c,77874f21-73b3-4fa4-92bf-28217dbb93f5,Bwindi - F11 (104),-1.088194,29.81106,NA,2026-03-08T10:56:13Z,2026-03-14T07:40:13Z,NA,f4cef494-70a9-40c9-82e6-7952205e6879,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.863888888888889,F11 (104),F11,Roadside
8f0a3c84-ee5c-4448-850e-294e9438ec86,bee3cd1c-f489-40eb-b69c-d19fafc03220,Bwindi - F03,-1.053492,29.779801,NA,2026-02-02T10:01:31Z,2026-03-14T08:47:41Z,NA,2095a066-0d8b-4e84-bfc1-321e0574a764,Reconyx-Hyperfire2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.94872685185185,F03,F03,Roadside
9044d235-9ef1-4f96-9232-80eeed52743a,cd2e6180-27c6-4b10-a34a-9fac256e4f30,Bwindi - F18 (102),-1.101838,29.807666,NA,2026-02-17T07:54:04Z,2026-03-04T12:26:26Z,NA,464b2e68-3d11-475a-8bc8-9bc925bd39c8,Reconyx-Hyperfire 2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.189143518518518,F18 (102),F18,Roadside
